Message_Length,Document Index (generated),Message_Length (bin),Number of Records,Created Time,Id (From),Id,Message,Name,Updated Time
28,11,25,1,2018-05-16T12:57:47+0000,100025312147621,284578622020844_399538827191489,Glimpse of patriarchy world.,Vijay Sukhani,2018-05-17T06:09:49+0000
47,12,25,1,2018-05-16T09:25:16+0000,100022525093363,284578622020844_399456920533013,Alumani guest lecture in dahegam ulive Janvikas,Jignesh Chauhan,2018-05-16T17:04:42+0000
50,13,50,1,2018-05-16T13:31:32+0000,100023383402509,284578622020844_399548737190498,एक गीत सब मिल कर गायें.... Art gallery at Kalunjar,Nupur Kumari,2018-05-16T13:31:32+0000
70,14,50,1,2018-05-16T13:28:45+0000,100023383402509,284578622020844_399547730523932,Students' experience at art exhibition in the art gallery at Kalaunjar,Nupur Kumari,2018-05-16T13:28:45+0000
50,15,50,1,2018-05-16T13:21:47+0000,100023383402509,284578622020844_399545570524148,A beautiful folk song at art gallery...at Kalunjar,Nupur Kumari,2018-05-16T13:21:48+0000
60,16,50,1,2018-05-16T12:42:23+0000,100023383402509,284578622020844_399532747192097,Geeta taking through the process of art gallery in Kalaunjar,Nupur Kumari,2018-05-16T12:57:43+0000
87,17,75,1,2018-03-24T14:41:22+0000,100024692932936,284578622020844_377281909417181,"A glimpse of TOT at BHUSHAN ITI, Jaipur, Rajasthan. M S Mahala  kanika  Tanvi Sushmitha",Pallavi Mishra,2018-05-16T11:57:01+0000
82,18,75,1,2018-05-16T08:33:22+0000,100021479812612,284578622020844_399432070535498,# Follow these instructions and share your responses in the comment section below.,Trainer Tribe,2018-05-16T08:33:22+0000
78,19,75,1,2018-05-15T10:52:16+0000,100021479812612,284578622020844_399051273906911,"# What does the internet say about you ? 
# Let's try out this exercise today!",Trainer Tribe,2018-05-16T08:28:52+0000
1102,20,1100,1,2018-05-14T08:25:51+0000,100021479812612,284578622020844_398655647279807,"# Social Media is a treasure trove of information.
# Other than connecting to different people from across your globe, reading about inspiring life and professional journey of others and sharing your own unique stories, here are a few examples for how you can use social media to enhance your knowledge and those of your students:  
* ***Facebook/Twitter: Join specific groups or follow news portals, magazines and influential people of your interest and get latest updates on the topics and issues of your choice! ***

* ***LinkedIn: Build your professional profile on LinkedIn and use it in your next job hunt, Join groups that are of interest to you or follow Thought Leaders who you can follow and gain specific insights. ***

* ***YouTube: YouTube has millions of videos to help you learn in any topic of your choice. Whether you want to learn new activities to use in your next training or improve your public speaking skills, you can find a relevant video for that on YouTube.***

* ***SlideShare: Enrich your knowledge on myriad set of topics using Slideshare at https://www.slideshare.net/ ***",Trainer Tribe,2018-05-16T03:01:07+0000
43,21,25,1,2018-05-15T07:34:34+0000,100022525093363,284578622020844_399004537244918,Book distribution in dahegam ulive Janvikas,Jignesh Chauhan,2018-05-15T07:34:35+0000
357,22,350,1,2018-05-14T06:51:36+0000,100025367670984,284578622020844_398634193948619,"Snowball activity done at Saraspur ITI, students have written their stress on paper and they threw at each other, it was a fun activity and at last we have asked students to tear the stress through paper😂.
Students have also given their feedback.
Activity carried by Fenil Gajera and Vijay Sukhani
Thanks Neha for sharing this activity, w'll look for more😀😀",Fenil Gajera,2018-05-15T04:26:37+0000
83,23,75,1,2018-05-10T03:49:27+0000,100018752347018,284578622020844_396921890786516,"A problem solving activity...this is from a government school in Samastipur, Bihar.",Neha,2018-05-14T08:47:55+0000
31,24,25,1,2018-05-12T08:40:17+0000,100021479812612,284578622020844_397827504029288,Has this ever happened to you ?,Trainer Tribe,2018-05-14T08:20:53+0000
185,25,175,1,2018-05-08T05:31:50+0000,100019162842561,284578622020844_396104064201632,"Dear Trainers, do you think encouraging your students to set short term or one day goals will help them go a long way? 

What is the best way to help your students set short term goals?",Sushmitha,2018-05-12T12:55:23+0000
134,26,125,1,2018-05-11T03:32:29+0000,100024135816450,284578622020844_397348954077143,"Dear friends, Paloma Foundation cordially invites you for Udhyam batch graduation. At 10am today. Your presence is a blessings for us.",Jayaraj L,2018-05-11T12:48:35+0000
167,27,150,1,2018-05-11T11:18:20+0000,100022215223235,284578622020844_397456907399681,"Yuva junction participated in Employment day celebration in District Dev Bhoomi Dwarka at Khambhaliya (Gujarat)with Collector  ,DDO and Minister Mr.Chimanbhai Sapariya",Hemal Chauhan,2018-05-11T11:18:21+0000
213,28,200,1,2018-05-10T09:29:18+0000,100025220414627,284578622020844_397019554110083,Something interesting. Updates from the MakerInMe pilot. Students from the  electrical department of the Government ITI Bangalore have created a  automatic bottle filling machine with the support of MakerInMe kit.,Bijo Joseph,2018-05-11T09:14:40+0000
31,29,25,1,2018-05-07T09:51:56+0000,100021479812612,284578622020844_395754347569937,# How do you feel reading this?,Trainer Tribe,2018-05-11T08:42:22+0000
55,30,50,1,2017-12-30T10:59:50+0000,100022280452844,284578622020844_339158569896182,"How to change reset password 
Send link to set password",Sandeep R,2018-05-11T08:31:11+0000
128,31,125,1,2018-05-11T05:56:19+0000,100018833221253,284578622020844_397386417406730,Question to graduating students at Paloma Udhyam entrepreneurship program : What else did you learn other than business studies?,Pallavi Rao,2018-05-11T05:56:20+0000
62,32,50,1,2018-05-11T05:34:13+0000,100018833221253,284578622020844_397379987407373,GRADUATION CEREMONY - Paloma - Udhyam Entrepreneurship program,Pallavi Rao,2018-05-11T05:34:14+0000
50,33,50,1,2018-05-10T12:22:49+0000,100024160094794,284578622020844_397076204104418,Parents Meeting conducted in Padharayapura centre.,Shreekaanth,2018-05-10T12:22:50+0000
232,34,225,1,2018-05-09T07:05:43+0000,100021479812612,284578622020844_396549574157081,"# Read this article about a wonderful gesture showed by J K Rowling, the popular author, to a young 12 year girl from J&K.  
# That's the power of the Social Media. 
# You can connect with a person located anywhere in the world. 
# ",Trainer Tribe,2018-05-10T08:41:53+0000
389,35,375,1,2018-05-09T06:41:02+0000,100022924790605,284578622020844_396540184158020,"Hackathon on Employers search in Jaipur. Girls of GPW, Jaipur collected 72 employers details through hackathon today in “30-Min challenge.”

This was a great experience where students collected details about employers and May share with each other in case they didn’t get job through campus placement. To collect these informations, we used google form to get all results on a spreadsheet.",M S Mahala,2018-05-10T07:45:02+0000
438,36,425,1,2018-05-10T07:42:36+0000,100021479812612,284578622020844_396990037446368,"# Watch this innovative story from YouTube of Aarambh, an NGO, which creates movable desks and school bags out of used carton boxes!  
# That's the power of the Social Media.   
# You can know about hundreds of inspiring and motivating stories of individuals and organizations sharing their amazing stories.  
# Use social media to tell your story and inspire many more trainers and youth!!  
# So, what is the story you want to tell? :-)",Trainer Tribe,2018-05-10T07:42:36+0000
22,37,0,1,2018-05-10T04:22:22+0000,100018752347018,284578622020844_396932230785482,Part 2 of the activity,Neha,2018-05-10T04:22:22+0000
23,38,0,1,2018-05-10T04:21:31+0000,100018752347018,284578622020844_396931714118867,Debrief of the activity,Neha,2018-05-10T04:21:31+0000
110,39,100,1,2018-05-09T15:13:52+0000,100021479812612,284578622020844_396712370807468,"What a creative way of teaching and capturing what the internet is and its many uses. Great share, SRIDHAR.V!!",Trainer Tribe,2018-05-09T15:13:52+0000
117,40,100,1,2018-05-06T03:01:40+0000,100021479812612,284578622020844_395203874291651,# Is there a difference between doing an activity and an energizer in your classroom? Is every activity an energizer?,Trainer Tribe,2018-05-09T12:53:09+0000
320,41,300,1,2018-05-03T09:44:02+0000,100021479812612,284578622020844_394004037744968,"# VOTE VOTE VOTE! Pick your choice! 
# Dear all, 
# As we were planning the next theme of the month, we thought of asking you for your ideas and suggestions. 
# What would you like the next theme of the month to be? 
# Select the theme from the list of options given below or add your own option at the end of the list!
",Trainer Tribe,2018-05-09T06:47:07+0000
220,42,200,1,2018-04-23T05:34:02+0000,100021479812612,284578622020844_389725411506164,"# Ready for a #VideoChallenge?
# Let us find out what our students know about the internet already. This will help us customize our lessons, based on their prior knowledge. 
# So get set to say 'roll, camera and action'!",Trainer Tribe,2018-05-08T10:40:58+0000
102,43,100,1,2018-05-08T08:18:39+0000,100022525093363,284578622020844_396139124198126,Dahegam ulive Janvikas market scan activity and students learning market and retail knowledge skill up,Jignesh Chauhan,2018-05-08T08:18:40+0000
64,44,50,1,2018-05-07T03:30:28+0000,100021877244863,284578622020844_395656120913093,Set daily goals. In 365 days you’ll achieve a whole lot of them.,SRIDHAR.V,2018-05-08T06:51:41+0000
21,45,0,1,2018-05-03T15:56:33+0000,100021982639863,284578622020844_394153627730009,Is this true are not?,Mr.Bamdev Tripathi,2018-05-08T05:14:52+0000
215,46,200,1,2018-05-03T17:33:34+0000,100018752347018,284578622020844_394199801058725,"Remember the post on giving up and failing! Here's an interesting concept of CV of failures. Would you like to make one too? 

https://inc42.com/buzz/failure-resume-nearbuy-founder-ankur-warikoo-important-lesson-us/",Neha,2018-05-08T04:17:46+0000
73,47,50,1,2018-03-26T13:31:20+0000,100022032163939,284578622020844_378112539334118,If at first you don't Succeed...Try till your last attempt of succeed....,Vivek Shihori,2018-05-07T05:29:21+0000
662,48,650,1,2018-05-03T14:16:06+0000,100023627012430,284578622020844_394112697734102,"Zasevikho Meru, L. Lily Phom, Vevosalu Swiho and Vetshelou Lasuh completed their Retail Customer Interaction training from Nagaland Job Centre, Kohima. The training provides Customer Service, Soft Skills, Resume Writing and Employability Skills. Four of them started the Internship on 8th March which continued till 28th April, 2018. They sold Momo, Lemon tea, Water and Bamboo products. During the Internship they were faced with weather challenges and also negative comments from peer groups but with much hard work and dedication they completed the 40 Days of internship with a profit money of Rs 33,815 which was equally distributed amongst the four of them.",Kelhouvituo Kense,2018-05-07T05:26:09+0000
173,49,150,1,2018-04-28T18:04:13+0000,100020592095151,284578622020844_392073961271309,Taken small step towards promoting good Mental Health during exam season.Check this video! #5Tips  #BeatExamsStress #Anxiety Hope you would find it useful for your trainees.,Tanvi,2018-05-06T05:42:30+0000
288,50,275,1,2018-05-06T04:05:08+0000,100023627012430,284578622020844_395224144289624,"Orientation held in Southern Angami Board Trustees Hall, organized by YouthNet and Angami Students Union, Kohima.
Yangermongla Imsong and Kikali Human Resource Executive, Nagaland Job Centre, Kohima shared on different departments of YouthNet and  various opportunities in Private Sector.",Kelhouvituo Kense,2018-05-06T04:05:08+0000
462,51,450,1,2018-05-03T12:11:21+0000,100021479812612,284578622020844_394055134406525,"# What is Social Media? And what is the difference between Social Media and Traditional Media? 
# Let's take a look at this super quick video from Coursera, an online learning website, and use it to understand this ourselves and teach our students as part of Digital Literacy sessions.  

***If you have any questions, do post them in the comments section. ***

***If you get a prompt to register yourself, simply click on cancel and the video will continue. ***",Trainer Tribe,2018-05-05T12:05:03+0000
32,52,25,1,2018-05-04T06:10:25+0000,100021479812612,284578622020844_394422877703084,Live updates from RVTI Bangalore,Trainer Tribe,2018-05-04T16:15:55+0000
106,53,100,1,2018-05-02T08:47:48+0000,100018724749160,284578622020844_393555141123191,"Question #2

If there's one thing you can change about India's skills training system, what would that be?",Ashutosh,2018-05-04T13:12:29+0000
311,54,300,1,2018-04-21T06:48:25+0000,100018752347018,284578622020844_388849548260417,"# What do you think is more important for a learner - **bookish knowledge or practical experience?** If you had to choose one of these which one would you pick and why? 

# एक शिक्षार्थी के लिय ज़्यादा ज़रुरी क्या है? **किताबी ज्ञान या व्यावहारिक अनुभव**? आपको दोनों में से चुनना हो तो आप क्या चुनेंगे और क्यों?",Neha,2018-05-04T12:50:33+0000
208,55,200,1,2018-05-04T12:29:58+0000,100021479812612,284578622020844_394546414357397,"# **Training Joke of the day :    **
# **CFO asks his CEO, “What happens if we invest in developing our people and then they leave the company?”**
# **CEO answers, “What happens if we don’t, and they stay?”**",Trainer Tribe,2018-05-04T12:29:58+0000
113,56,100,1,2018-05-04T11:42:45+0000,100021479812612,284578622020844_394527107692661,"# How can we behave professionally on social media?  

***Watch this video and let us know your thoughts too! ***",Trainer Tribe,2018-05-04T11:42:46+0000
41,57,25,1,2018-05-04T10:13:25+0000,100021912520397,284578622020844_394498174362221,PRAGATHI ITI graduations day celabaration,VENKATESH.D,2018-05-04T10:13:26+0000
117,58,100,1,2018-05-04T06:01:33+0000,100022982760324,284578622020844_394419867703385,"Please suggest me any vacancy of trainer in gujarat or out side of gujarat.
Mo. 9898276239
E mail  bariya777@yahoo.in",Bariya,2018-05-04T06:01:33+0000
67,59,50,1,2018-04-27T10:38:17+0000,100021479812612,284578622020844_391500834661955,# Would you use this as an energizer in your class? Why or why not?,Trainer Tribe,2018-05-04T05:02:49+0000
197,60,175,1,2018-04-24T01:40:49+0000,100021982639863,284578622020844_390075564804482,"I have a question how many girl/women facilitator in TT. who did not paste her own DP, what is the fear behind that in her mind .Tanvi Neha Sonal Pallavi Rao could you help me find out the reason .",Mr.Bamdev Tripathi,2018-05-03T16:11:00+0000
17,61,0,1,2018-04-25T18:31:51+0000,100022125796211,284578622020844_390864114725627,Equality n Equity,Ayush,2018-05-03T13:18:55+0000
113,62,100,1,2018-05-02T16:04:16+0000,100018833221253,284578622020844_393704407774931,"As trainers of youth who may be challenging to deal with, how can you be flexible to achieve your training goals?",Pallavi Rao,2018-05-02T16:04:17+0000
211,63,200,1,2018-04-30T06:38:18+0000,100021479812612,284578622020844_392662014545837,"# Show this video to your students and have a discussion on what they agree with most and why. This can be a great way to start digital literacy lesson. 

# How else do you think you can use this video in class?",Trainer Tribe,2018-05-02T12:31:56+0000
168,64,150,1,2018-04-26T04:42:32+0000,100021479812612,284578622020844_391011058044266,"# **Will you allow students to use their smart phones and internet in the classroom? **
**Share the reasons for yes/no in the comments section. #21stcenturylearning **
",Trainer Tribe,2018-05-02T10:05:23+0000
137,65,125,1,2018-04-24T23:59:02+0000,100021479812612,284578622020844_390492678096104,"# **#VideoChallenge 2 **
# Here are the next set of questions, this time reach out to family as well. Look forward to all your responses.",Trainer Tribe,2018-05-02T09:51:01+0000
141,66,125,1,2018-05-01T08:39:36+0000,100021479812612,284578622020844_393111417834230,"# Today is May Day. 
# What is May Day and why is it celebrated?

> **Post your responses in the comments section. Happy May Day everyone! **",Trainer Tribe,2018-05-02T06:49:53+0000
417,67,400,1,2018-04-30T05:47:52+0000,100021479812612,284578622020844_392651847880187,"You all saw the post on [bookish knowledge vs practical knowledge](https://questalliance.facebook.com/groups/284578622020844/permalink/388849548260417/). One aspect that emerged as part of that was around learning. So the next question is about that. 
# **When would you say learning has happened? **
# **सीखने का मतलब क्या है? आप कब कहेंगे की आपने कुछ सीख लिया है? **
## **And guess who is in the photo as well :) **",Trainer Tribe,2018-05-01T08:38:02+0000
94,68,75,1,2018-04-28T13:16:36+0000,100025312207513,284578622020844_391952164616822,#ASSIST #VTC Induction week session -#Day 4  #Assessment. #Director of Assist #Motivation talk,LAWLY CLAUDSON K L,2018-04-30T04:54:15+0000
60,69,50,1,2018-04-27T11:41:21+0000,100021479812612,284578622020844_391519897993382,What do you relate to from this video shared by Anil Sihori?,Trainer Tribe,2018-04-29T17:00:33+0000
132,70,125,1,2018-04-27T08:35:28+0000,100019095730344,284578622020844_391471201331585,https://www.npr.org/sections/ed/2018/04/25/605092520/high-paying-trade-jobs-sit-empty-while-high-school-grads-line-up-for-university,Sreejith,2018-04-29T13:53:22+0000
37,71,25,1,2018-04-26T11:02:54+0000,100022546450934,284578622020844_391110501367655,Batch Over ready for placement ...😀😀😀,Rosline,2018-04-28T13:33:19+0000
180,72,175,1,2018-04-22T10:20:27+0000,100019095730344,284578622020844_389364218208950,"# **Seven Characteristics of Good Learners (One old article but it's good)**

**https://www.facultyfocus.com/articles/teaching-professor-blog/seven-characteristics-good-learners/**",Sreejith,2018-04-28T11:36:05+0000
235,73,225,1,2018-04-21T17:31:32+0000,100018752347018,284578622020844_389096544902384,"Came across this very very inspiring real life story of a woman superhero in Pakistan. Do share your thoughts after watching this. Do you think you can share this video with your students? Is there something they can learn from this?

",Neha,2018-04-28T11:18:40+0000
181,74,175,1,2018-04-26T06:07:41+0000,100022823681788,284578622020844_391039148041457,"At Outreach Bellary center, My quest students built QUEST Town and Neighbors on chart .
From this activity students understand all are Quest town people and all well known neighbor.",Basavaraj Bhavimani,2018-04-28T10:56:26+0000
44,75,25,1,2018-04-19T10:35:47+0000,100021840439906,284578622020844_388063991672306,Mock interview practice of HDRC students OJT,Mayuri Raval,2018-04-28T08:05:30+0000
268,76,250,1,2018-04-27T09:02:00+0000,100019095730344,284578622020844_391477484664290,"Who want a  free Harley-Davidson Bike. Here the chance to get Harley-Davidson

https://www.harley-davidson.com/content/dam/h-d/documents/company/about-us/Find_Your_Freedom_Internship_H-D.pdf 

http://dcejet.com/1350/news/harley-davidson-interns-gets-a-free-motorcycle/",Sreejith,2018-04-27T10:32:14+0000
81,77,75,1,2018-04-19T06:24:18+0000,100025277383027,284578622020844_388006618344710,"“A man’s manhood is reflected in the way, he treats all the women in his life!”..",Aggy MoI,2018-04-27T05:42:07+0000
88,78,75,1,2018-04-26T12:20:11+0000,100022823681788,284578622020844_391139621364743,Today mohanareddy  has taken class to s2s students about communication and body language,Basavaraj Bhavimani,2018-04-26T13:56:12+0000
134,79,125,1,2018-04-26T11:01:10+0000,100025277383027,284578622020844_391109331367772,Collash making#group activity#coordination#understanding# Education... Tourism In Kerala..Swachh Bharat ☺️ review ..winners... Group 1,Aggy MoI,2018-04-26T11:01:11+0000
30,80,25,1,2018-04-17T11:59:28+0000,100025277383027,284578622020844_387200691758636,Group discussion in our center,Aggy MoI,2018-04-26T08:01:52+0000
49,81,25,1,2018-04-25T13:16:17+0000,100025463504668,284578622020844_390723791406326,Market Scan by Students of Navjeevan Trust Rajkot,Sahil Sindhi,2018-04-26T06:29:11+0000
66,82,50,1,2018-04-25T13:19:42+0000,100025463504668,284578622020844_390725561406149,"Career Card Making and present by students, Navjeevan trust Rajkot",Sahil Sindhi,2018-04-26T05:21:33+0000
49,83,25,1,2018-04-12T14:44:46+0000,100022089980732,284578622020844_385260461952659,Certificate distribution from University youth...,Sahil (Ram Prakash),2018-04-26T04:15:31+0000
39,84,25,1,2018-04-25T06:13:46+0000,100018849090004,284578622020844_390597304752308,From MasterCoach trainers Samir Sheikh.,Shalini,2018-04-26T04:14:07+0000
43,85,25,1,2018-04-26T03:02:08+0000,100021853848288,284578622020844_390988904713148,My career session on balancing relationship,Pavithra S,2018-04-26T03:02:09+0000
103,86,100,1,2018-04-24T06:55:35+0000,100022924790605,284578622020844_390160671462638,"students learning about communication Skills through activities in GPW, Jaipur
#ClayandSculptorActivity",M S Mahala,2018-04-25T10:10:58+0000
64,87,50,1,2018-04-25T08:43:05+0000,100022525093363,284578622020844_390644621414243,Students thought goal and Nick name game JanVikas u live Dahegam,Jignesh Chauhan,2018-04-25T08:43:07+0000
71,88,50,1,2018-04-14T09:18:41+0000,100022546450934,284578622020844_385959231882782,Parents meeting held . Explained about how the process and work go on .,Rosline,2018-04-25T07:05:06+0000
29,89,25,1,2018-04-10T11:49:35+0000,100025312207513,284578622020844_384396142039091,How to achieve 100% placement,LAWLY CLAUDSON K L,2018-04-25T06:04:13+0000
,90,,1,2018-04-24T08:16:37+0000,100021877244863,284578622020844_390179801460725,,SRIDHAR.V,2018-04-24T08:16:37+0000
80,91,75,1,2018-04-21T09:32:36+0000,100022924790605,284578622020844_388899018255470,"Students of Mahila ITI, Jaipur at Rama Handicrafts for a exposure visit today :)",M S Mahala,2018-04-24T07:34:43+0000
303,92,300,1,2018-04-24T07:24:04+0000,100021479812612,284578622020844_390167141461991,"# It's time for all of us to update our Profile pictures! 
# As a professional community of trainers, we need to know each other well and feel safe in order to learn, grow and share on this platform. The first step is to recognize each other. Pls do upload your profile picture and spread some smiles :)",Trainer Tribe,2018-04-24T07:24:05+0000
275,93,275,1,2018-04-24T04:45:41+0000,100018752347018,284578622020844_390124114799627,"# #videochallenge 
# Do make short videos of your students asking them these questions. We would love to hear how students understand this. Jignesh Pranami Jignesh Chauhan Tayyab Mayuri Raval Sahil (Ram Prakash) Sapana Vaja Kelhouvituo Kense Arun shaju AROCKIA PRINCIA MARY M",Neha,2018-04-24T05:28:02+0000
,94,,1,2018-03-23T13:06:50+0000,100021479812612,284578622020844_376833006128738,,Trainer Tribe,2018-04-23T08:51:27+0000
129,95,125,1,2018-04-23T07:53:36+0000,100019095730344,284578622020844_389755464836492,http://www.newindianexpress.com/states/tamil-nadu/2018/feb/23/microsoft-to-accelerate-digital-literacy-in-tamil-nadu-1777868.html,Sreejith,2018-04-23T07:53:36+0000
,96,,1,2018-04-23T05:27:34+0000,100021479812612,284578622020844_389724298172942,,Trainer Tribe,2018-04-23T05:27:34+0000
,97,,1,2018-04-21T07:22:29+0000,100022215223235,284578622020844_388864398258932,,Hemal Chauhan,2018-04-23T04:40:41+0000
42,98,25,1,2018-04-23T03:33:47+0000,100021840439906,284578622020844_389695238175848,Market scan activity at HDRC OJT students.,Mayuri Raval,2018-04-23T03:33:48+0000
,99,,1,2018-04-18T07:38:23+0000,100025312147621,284578622020844_387541341724571,,Vijay Sukhani,2018-04-22T05:18:00+0000
20,100,0,1,2018-04-15T03:09:46+0000,100024165974538,284578622020844_386275001851205,Must Watch..........,Arun shaju,2018-04-21T16:20:17+0000
386,101,375,1,2018-04-10T04:47:21+0000,100018752347018,284578622020844_384210295391009,"# WHAT HAPPENS IF YOU GIVE UP? 
# क्या होता है अगर आप छोड़ देते है, अगर आप कहते की मुझसे नहीं हो रहा, रहने दो? 

https://dms.licdn.com/playback/C5105AQGGA-ArMRakgA/99ee437c71274cf496424d694a1e9cad/feedshare-mp4_500/1479932728445-v0ch3x?e=1523422800&v=beta&t=MpovghtJ2pBty_ZcY6aJfWQuoUgauF1T_yvWNvusK5E

https://questalliance.facebook.com/groups/284578622020844/permalink/378112539334118/",Neha,2018-04-21T05:42:33+0000
73,102,50,1,2018-04-09T10:53:34+0000,100025208213742,284578622020844_383898875422151,Some body pls send required formats for data collection and resume sample,Kulkarni Vithalrao,2018-04-21T05:26:14+0000
506,103,500,1,2018-04-04T17:53:16+0000,100022924790605,284578622020844_381951162283589,"#30DaysChallenge

Sharing the TEDx talk by Mithila Palkar where she talks about the follow the passion, learning along the way and its okay not to have plan.

( #30DaysChallenge is a challenge to self to do something you've always meant to do, wanted to do, but just ... haven't? Watch Ted-Ed by Matt Cutts shared in my last post to know more, So tag yourself for the challenge and your colleagues, lets make our passion some noise this time)

Neha Angela are already started following the #30DaysChallenge",M S Mahala,2018-04-21T04:44:57+0000
149,104,125,1,2018-04-20T06:14:44+0000,100025220414627,284578622020844_388418784970160,Second batch MakerInMe pilot is progressing in Government ITI Bengaluru. Students are exploring the different versions of  remote controlled vehicle.,Bijo Joseph,2018-04-20T09:33:34+0000
150,105,150,1,2018-04-20T05:44:12+0000,100021479812612,284578622020844_388410394970999,"Hi, Want to know how to make lessons on internet and technology simple, yet fun?
Here is a series to help you teach digital literacy to your learners.",Trainer Tribe,2018-04-20T06:09:14+0000
124,106,100,1,2018-04-20T05:00:30+0000,100021479812612,284578622020844_388076705004368,"Dear All, 
Here is a series on how to help your learners understand Internet and Digital Litearcy. 
Know more about it here.",Trainer Tribe,2018-04-20T05:00:30+0000
128,107,125,1,2018-04-20T05:00:25+0000,100021479812612,284578622020844_388076391671066,"Dear All, here is a new series on how to help your students learn about internet and digital literacy. 
Know more about it here.",Trainer Tribe,2018-04-20T05:00:25+0000
59,108,50,1,2018-04-19T12:33:08+0000,100025408987112,284578622020844_388094705002568,Pre-placement workshop @ Government ITI and National ITI...,David Roshan Vinod,2018-04-19T17:12:32+0000
